date,revenue,cost,profit,growth_rate
2025-05-06,226276.31,152697.18,73579.12,-50.95
2025-05-07,225884.75,153990.83,71893.91,-52.07
2025-05-08,221062.0,159978.07,61083.94,-59.28
2025-05-09,228681.23,158236.69,70444.54,-53.04
2025-05-10,222356.42,152068.87,70287.55,-53.14
2025-05-11,224300.43,163247.22,61053.21,-59.3
2025-05-12,226957.31,173703.39,53253.91,-64.5
2025-05-13,224480.37,154825.61,69654.76,-53.56
2025-05-14,227138.42,167875.99,59262.42,-60.49
2025-05-15,231853.93,152245.19,79608.74,-46.93
2025-05-16,227130.58,162925.86,64204.72,-57.2
2025-05-17,227038.47,178527.37,48511.1,-67.66
2025-05-18,222803.45,176747.46,46055.99,-69.3
2025-05-19,228192.2,168114.91,60077.29,-59.95
2025-05-20,221751.6,168072.14,53679.46,-64.21
2025-05-21,222373.56,160381.22,61992.34,-58.67
2025-05-22,230354.77,158422.02,71932.75,-52.04
2025-05-23,222710.17,165681.6,57028.58,-61.98
2025-05-24,225052.45,157683.02,67369.43,-55.09
2025-05-25,232727.71,146543.92,86183.79,-42.54
2025-05-26,226014.3,146108.16,79906.14,-46.73
2025-05-27,228370.29,158441.8,69928.49,-53.38
2025-05-28,229554.29,150968.75,78585.54,-47.61
2025-05-29,219368.29,143400.54,75967.75,-49.35
2025-05-30,223918.29,158681.72,65236.57,-56.51
2025-05-31,228000.17,162232.99,65767.18,-56.16
2025-06-01,222612.95,156476.96,66135.98,-55.91
2025-06-02,221118.11,164428.37,56689.74,-62.21
2025-06-03,231133.99,145872.48,85261.51,-43.16
2025-06-04,222080.34,158836.84,63243.49,-57.84
2025-06-05,227506.96,165113.72,62393.24,-58.4
2025-06-06,243801.91,186884.91,56917.0,-62.06
2025-06-07,230851.18,157956.81,72894.37,-51.4
2025-06-08,229830.79,133270.09,96560.69,-35.63
2025-06-09,236892.78,143707.86,93184.92,-37.88
2025-06-10,224551.45,142190.5,82360.95,-45.09
2025-06-11,231377.67,162708.02,68669.65,-54.22
2025-06-12,221581.73,161196.01,60385.71,-59.74
2025-06-13,220723.78,155009.58,65714.19,-56.19
2025-06-14,223545.82,171721.59,51824.23,-65.45
2025-06-15,230269.31,137872.11,92397.2,-38.4
2025-06-16,227376.72,154110.27,73266.45,-51.16
2025-06-17,218986.37,158819.72,60166.64,-59.89
2025-06-18,230489.41,157490.57,72998.85,-51.33
2025-06-19,225143.23,177474.26,47668.97,-68.22
2025-06-20,228436.2,164214.75,64221.45,-57.19
2025-06-21,234102.55,146087.37,88015.18,-41.32
2025-06-22,224440.36,154444.23,69996.12,-53.34
2025-06-23,235138.35,126489.53,108648.82,-27.57
2025-06-24,222025.72,133271.36,88754.35,-40.83
2025-06-25,220792.15,149696.59,71095.56,-52.6
2025-06-26,227296.89,159772.77,67524.12,-54.98
2025-06-27,237368.13,154508.75,82859.38,-44.76
2025-06-28,228834.06,157867.38,70966.68,-52.69
2025-06-29,227031.91,160210.94,66820.97,-55.45
2025-06-30,229776.02,153776.06,75999.95,-49.33
2025-07-01,319095.03,220944.82,98150.2,-34.57
2025-07-02,309792.7,209320.22,100472.47,-33.02
2025-07-03,307484.58,206178.18,101306.4,-32.46
2025-07-04,311440.02,232832.73,78607.29,-47.6
2025-07-05,315156.82,233418.73,81738.09,-45.51
2025-07-06,310139.8,225653.64,84486.16,-43.68
2025-07-07,301955.82,211053.5,90902.31,-39.4
2025-07-08,307048.2,204659.87,102388.34,-31.74
2025-07-09,313471.87,216018.46,97453.41,-35.03
2025-07-10,313108.63,212789.95,100318.68,-33.12
2025-07-11,308002.32,235706.15,72296.17,-51.8
2025-07-12,306551.06,250187.04,56364.02,-62.42
2025-07-13,308432.36,213895.64,94536.72,-36.98
2025-07-14,318190.13,239680.33,78509.8,-47.66
2025-07-15,300325.32,191995.15,108330.18,-27.78
2025-07-16,311239.78,228248.57,82991.21,-44.67
2025-07-17,306463.44,200775.63,105687.82,-29.54
2025-07-18,293747.37,231626.14,62121.23,-58.59
2025-07-19,301523.3,206221.04,95302.26,-36.47
2025-07-20,310372.41,238333.13,72039.29,-51.97
2025-07-21,308133.76,207883.32,100250.44,-33.17
2025-07-22,310083.78,230586.7,79497.08,-47.0
2025-07-23,297796.04,187500.37,110295.67,-26.47
2025-07-24,302626.8,232419.07,70207.73,-53.19
2025-07-25,308631.69,238809.26,69822.42,-53.45
2025-07-26,304892.92,213355.48,91537.43,-38.98
2025-07-27,308750.91,203355.22,105395.69,-29.74
2025-07-28,309817.21,218248.76,91568.44,-38.95
2025-07-29,311052.34,211496.61,99555.73,-33.63
2025-07-30,307268.06,230197.62,77070.45,-48.62
2025-07-31,307463.32,203340.71,104122.6,-30.58
2025-08-01,320855.13,231115.58,89739.54,-40.17
2025-08-02,320127.01,211806.47,108320.54,-27.79
2025-08-03,306252.59,229326.67,76925.92,-48.72
2025-08-04,301801.64,202216.26,99585.38,-33.61
2025-08-05,313319.8,190966.36,122353.44,-18.43
2025-08-06,309101.68,245367.56,63734.13,-57.51
2025-08-07,310534.89,232443.5,78091.39,-47.94
2025-08-08,298942.21,236634.56,62307.65,-58.46
2025-08-09,306620.91,210307.89,96313.02,-35.79
2025-08-10,296574.29,227678.19,68896.1,-54.07
2025-08-11,308812.53,220472.43,88340.1,-41.11
2025-08-12,297348.37,199232.7,98115.67,-34.59
2025-08-13,308759.45,220799.26,87960.19,-41.36
2025-08-14,307221.4,215776.65,91444.75,-39.04
2025-08-15,305289.12,189292.64,115996.49,-22.67
2025-08-16,307974.84,223504.1,84470.74,-43.69
2025-08-17,313775.53,243825.09,69950.43,-53.37
2025-08-18,309324.41,204950.83,104373.58,-30.42
2025-08-19,308011.32,239498.25,68513.07,-54.32
2025-08-20,319995.14,252081.63,67913.52,-54.72
2025-08-21,301079.51,235851.14,65228.37,-56.51
2025-08-22,315788.75,205816.52,109972.22,-26.69
2025-08-23,311616.14,191162.9,120453.24,-19.7
2025-08-24,316301.97,217150.69,99151.29,-33.9
2025-08-25,311856.89,210710.56,101146.33,-32.57
2025-08-26,315674.02,194086.14,121587.89,-18.94
2025-08-27,307149.66,214909.56,92240.1,-38.51
2025-08-28,309993.81,196776.79,113217.02,-24.52
2025-08-29,311656.74,200999.09,110657.65,-26.23
2025-08-30,310560.77,216419.25,94141.51,-37.24
2025-08-31,313459.96,190055.51,123404.44,-17.73
2025-09-01,225440.91,148871.34,76569.57,-48.95
2025-09-02,221338.74,152817.44,68521.3,-54.32
2025-09-03,236846.7,184492.1,52354.6,-65.1
2025-09-04,233399.96,173315.27,60084.69,-59.94
2025-09-05,225098.29,151598.06,73500.23,-51.0
2025-09-06,225318.36,184469.74,40848.62,-72.77
2025-09-07,226544.0,168751.03,57792.96,-61.47
2025-09-08,231859.89,150848.79,81011.1,-45.99
2025-09-09,242034.48,182972.92,59061.56,-60.63
2025-09-10,234961.14,135610.79,99350.35,-33.77
2025-09-11,224580.1,105484.81,119095.3,-20.6
2025-09-12,225062.17,148842.33,76219.83,-49.19
2025-09-13,226463.89,177628.55,48835.33,-67.44
2025-09-14,232102.86,152329.4,79773.45,-46.82
2025-09-15,228083.32,177028.29,51055.04,-65.96
2025-09-16,230574.25,156928.04,73646.21,-50.9
2025-09-17,225083.1,167981.51,57101.58,-61.93
2025-09-18,236862.67,166131.82,70730.85,-52.85
2025-09-19,228748.43,152682.22,76066.2,-49.29
2025-09-20,225961.34,148811.54,77149.8,-48.57
2025-09-21,225713.47,158547.03,67166.44,-55.22
2025-09-22,224426.08,161477.41,62948.67,-58.03
2025-09-23,227848.48,152923.11,74925.37,-50.05
2025-09-24,231701.69,168311.77,63389.91,-57.74
2025-09-25,229217.83,141319.61,87898.22,-41.4
2025-09-26,230768.55,155023.89,75744.67,-49.5
2025-09-27,223729.47,138404.17,85325.3,-43.12
2025-09-28,228541.71,142561.0,85980.71,-42.68
2025-09-29,231982.44,161621.24,70361.2,-53.09
2025-09-30,222825.69,154322.93,68502.76,-54.33
2025-10-01,226512.71,169955.8,56556.91,-62.3
2025-10-02,225755.85,170517.11,55238.74,-63.17
2025-10-03,231933.17,133690.4,98242.77,-34.5
2025-10-04,224784.79,159256.98,65527.81,-56.31
2025-10-05,228851.05,161186.54,67664.51,-54.89
2025-10-06,227748.52,158059.17,69689.35,-53.54
2025-10-07,228996.74,154714.71,74282.03,-50.48
2025-10-08,226517.52,164717.69,61799.83,-58.8
2025-10-09,233241.3,173428.02,59813.28,-60.12
2025-10-10,227038.57,156087.63,70950.95,-52.7
2025-10-11,234492.91,142210.66,92282.24,-38.48
2025-10-12,226956.25,140936.98,86019.28,-42.65
2025-10-13,228653.72,169539.94,59113.78,-60.59
2025-10-14,218488.34,143275.74,75212.6,-49.86
2025-10-15,229926.73,143950.39,85976.35,-42.68
2025-10-16,233861.94,169659.57,64202.37,-57.2
2025-10-17,234353.19,166178.28,68174.91,-54.55
2025-10-18,229801.59,148320.95,81480.64,-45.68
2025-10-19,224946.91,158267.77,66679.14,-55.55
2025-10-20,226516.01,154625.19,71890.82,-52.07
2025-10-21,232510.81,159620.13,72890.69,-51.41
2025-10-22,224257.69,152187.91,72069.78,-51.95
2025-10-23,226224.08,168193.14,58030.93,-61.31
2025-10-24,234972.25,145304.28,89667.97,-40.22
2025-10-25,230072.5,140589.02,89483.48,-40.34
2025-10-26,235650.12,167082.19,68567.93,-54.29
2025-10-27,240919.42,169961.36,70958.06,-52.69
2025-10-28,232160.19,165029.46,67130.73,-55.25
2025-10-29,230879.36,183341.58,47537.78,-68.31
2025-10-30,235031.56,166683.01,68348.55,-54.43
2025-10-31,229348.38,149195.65,80152.73,-46.56
2025-11-01,228331.51,188815.21,39516.29,-73.66
2025-11-02,231323.5,160098.91,71224.6,-52.52
2025-11-03,226987.18,168563.48,58423.7,-61.05
2025-11-04,218331.94,138750.38,79581.57,-46.95
2025-11-05,223045.38,139372.53,83672.86,-44.22
2025-11-06,227799.31,156660.51,71138.8,-52.57
2025-11-07,227761.52,168594.08,59167.44,-60.56
2025-11-08,228307.74,219502.5,8805.25,-94.13
2025-11-09,224385.42,162866.45,61518.97,-58.99
2025-11-10,227830.45,146876.3,80954.15,-46.03
2025-11-11,229082.71,162170.58,66912.13,-55.39
2025-11-12,229160.54,160135.96,69024.59,-53.98
2025-11-13,228587.69,161783.35,66804.33,-55.46
2025-11-14,228981.05,154065.04,74916.01,-50.06
2025-11-15,235512.19,133543.05,101969.14,-32.02
2025-11-16,234876.77,140064.18,94812.59,-36.79
2025-11-17,230511.32,158420.97,72090.36,-51.94
2025-11-18,222747.97,147260.72,75487.24,-49.68
2025-11-19,227558.18,158498.94,69059.24,-53.96
2025-11-20,233524.22,153637.28,79886.95,-46.74
2025-11-21,225912.29,159254.0,66658.29,-55.56
2025-11-22,228671.17,146096.55,82574.62,-44.95
2025-11-23,232555.68,172252.41,60303.27,-59.8
2025-11-24,224990.48,153432.64,71557.84,-52.29
2025-11-25,234637.65,156535.77,78101.88,-47.93
2025-11-26,225038.28,161196.42,63841.86,-57.44
2025-11-27,223615.94,142650.18,80965.75,-46.02
2025-11-28,225627.38,140378.26,85249.12,-43.17
2025-11-29,232169.59,176990.94,55178.65,-63.21
2025-11-30,219450.87,155931.01,63519.86,-57.65
2025-12-01,286225.01,214265.5,71959.5,-52.03
2025-12-02,286623.65,195425.56,91198.09,-39.2
2025-12-03,286496.08,231420.64,55075.44,-63.28
2025-12-04,290700.93,205974.18,84726.74,-43.52
2025-12-05,285810.21,181654.58,104155.63,-30.56
2025-12-06,287465.76,204040.97,83424.79,-44.38
2025-12-07,281294.74,225114.19,56180.55,-62.55
2025-12-08,291048.3,207459.66,83588.64,-44.27
2025-12-09,292591.54,190129.53,102462.02,-31.69
2025-12-10,289902.19,176247.86,113654.33,-24.23
2025-12-11,279650.24,190889.07,88761.17,-40.83
2025-12-12,288156.18,192898.7,95257.49,-36.5
2025-12-13,278962.61,213982.62,64979.99,-56.68
2025-12-14,281985.49,184004.01,97981.48,-34.68
2025-12-15,302195.08,212976.83,89218.25,-40.52
2025-12-16,288130.5,193398.41,94732.09,-36.85
2025-12-17,287824.61,177162.42,110662.19,-26.23
2025-12-18,292814.45,204457.86,88356.59,-41.1
2025-12-19,297337.32,184974.25,112363.06,-25.09
2025-12-20,284888.83,208430.47,76458.35,-49.03
2025-12-21,292796.59,179149.54,113647.05,-24.24
2025-12-22,293804.19,204569.49,89234.7,-40.51
2025-12-23,290818.87,219053.04,71765.83,-52.16
2025-12-24,287961.78,209633.16,78328.62,-47.78
2025-12-25,293506.19,198795.49,94710.69,-36.86
2025-12-26,290954.73,209918.28,81036.45,-45.98
2025-12-27,288532.68,219573.77,68958.91,-54.03
2025-12-28,281147.59,211607.88,69539.71,-53.64
2025-12-29,293871.66,204528.57,89343.09,-40.44
2025-12-30,292797.01,135689.1,157107.92,4.74
2025-12-31,290305.4,188081.83,102223.57,-31.85
2026-01-01,294793.44,203600.98,91192.46,-39.21
2026-01-02,284940.06,190189.16,94750.9,-36.83
2026-01-03,293489.93,209361.78,84128.15,-43.91
2026-01-04,292626.85,215276.79,77350.06,-48.43
2026-01-05,287803.17,194018.35,93784.81,-37.48
2026-01-06,295659.58,220559.5,75100.08,-49.93
2026-01-07,289381.0,196120.7,93260.3,-37.83
2026-01-08,295957.13,194256.93,101700.2,-32.2
2026-01-09,292184.27,184887.63,107296.65,-28.47
2026-01-10,282355.54,170349.64,112005.9,-25.33
2026-01-11,280715.45,210316.54,70398.91,-53.07
2026-01-12,286452.18,233597.78,52854.4,-64.76
2026-01-13,283884.79,201082.02,82802.77,-44.8
2026-01-14,290560.26,180583.78,109976.48,-26.68
2026-01-15,288173.6,192742.89,95430.71,-36.38
2026-01-16,284572.48,192143.78,92428.7,-38.38
2026-01-17,286823.34,221148.03,65675.31,-56.22
2026-01-18,284527.14,204057.44,80469.7,-46.35
2026-01-19,285666.32,202864.84,82801.48,-44.8
2026-01-20,279129.23,183665.49,95463.73,-36.36
2026-01-21,288825.3,193328.27,95497.04,-36.34
2026-01-22,285666.19,207729.3,77936.89,-48.04
2026-01-23,294159.94,203309.42,90850.52,-39.43
2026-01-24,283344.34,210866.29,72478.05,-51.68
2026-01-25,282487.88,190430.57,92057.31,-38.63
2026-01-26,289273.58,152146.2,137127.38,-8.58
2026-01-27,282993.55,191170.08,91823.48,-38.78
2026-01-28,294042.61,181727.21,112315.4,-25.12
2026-01-29,290713.91,212085.32,78628.6,-47.58
2026-01-30,294458.4,212092.75,82365.64,-45.09
2026-01-31,292211.97,220133.14,72078.84,-51.95
2026-02-01,271263.41,181079.29,90184.12,-39.88
2026-02-02,267632.22,185106.24,82525.97,-44.98
2026-02-03,265882.11,176950.66,88931.45,-40.71
2026-02-04,267748.51,239154.31,28594.2,-80.94
2026-02-05,269480.25,168568.08,100912.18,-32.73
2026-02-06,257951.92,190191.22,67760.7,-54.83
2026-02-07,273113.09,194096.43,79016.67,-47.32
2026-02-08,266525.94,207589.77,58936.17,-60.71
2026-02-09,271635.99,170567.11,101068.88,-32.62
2026-02-10,262874.52,186563.23,76311.29,-49.13
2026-02-11,263337.0,186635.35,76701.65,-48.87
2026-02-12,271622.87,184406.4,87216.48,-41.86
2026-02-13,262512.23,182038.6,80473.63,-46.35
2026-02-14,254522.09,171099.93,83422.15,-44.39
2026-02-15,275324.75,175796.65,99528.1,-33.65
2026-02-16,264418.25,171591.14,92827.1,-38.12
2026-02-17,269141.04,203495.57,65645.48,-56.24
2026-02-18,272357.54,199504.64,72852.9,-51.43
2026-02-19,264894.48,169171.42,95723.06,-36.18
2026-02-20,274254.1,191352.76,82901.34,-44.73
2026-02-21,266752.47,150471.93,116280.54,-22.48
2026-02-22,258835.15,199869.45,58965.69,-60.69
2026-02-23,268184.34,187341.18,80843.16,-46.1
2026-02-24,267339.93,193243.37,74096.56,-50.6
2026-02-25,267982.3,195727.77,72254.54,-51.83
2026-02-26,266603.27,196073.42,70529.84,-52.98
2026-02-27,260104.56,181425.97,78678.59,-47.55
2026-02-28,262006.11,206997.15,55008.96,-63.33
2026-03-01,261683.31,182991.36,78691.95,-47.54
2026-03-02,270104.84,180259.54,89845.3,-40.1
2026-03-03,264187.27,184595.72,79591.56,-46.94
2026-03-04,263274.92,152385.11,110889.81,-26.07
2026-03-05,271137.03,174969.75,96167.27,-35.89
2026-03-06,260579.01,181783.68,78795.33,-47.47
2026-03-07,278503.84,194637.94,83865.9,-44.09
2026-03-08,264583.0,185563.78,79019.22,-47.32
2026-03-09,261119.14,183275.09,77844.05,-48.1
2026-03-10,260472.5,178669.8,81802.69,-45.46
2026-03-11,271074.08,198200.01,72874.07,-51.42
2026-03-12,273276.64,278203.46,-4926.82,-103.28
2026-03-13,267759.57,192696.7,75062.87,-49.96
2026-03-14,269499.83,202792.6,66707.24,-55.53
2026-03-15,263049.69,185641.18,77408.51,-48.39
2026-03-16,270968.99,217794.86,53174.13,-64.55
2026-03-17,262270.02,178743.29,83526.73,-44.32
2026-03-18,267043.43,178232.56,88810.87,-40.79
2026-03-19,263401.17,170794.9,92606.27,-38.26
