date,ticket_id,issue_type,resolution_hours,satisfaction_score,churn_risk
2025-03-21,TKT166028,Technical Issue,23.2,6.6,0.303
2025-03-21,TKT167031,Account Access,11.7,5.9,0.198
2025-03-21,TKT167031,Billing Problem,50.0,3.4,0.495
2025-03-21,TKT167031,Billing Problem,11.5,9.1,0.06
2025-03-21,TKT167031,Billing Problem,12.6,6.6,0.164
2025-03-21,TKT167031,Account Access,0.8,9.4,0.146
2025-03-21,TKT167031,Technical Issue,3.4,7.5,0.0
2025-03-21,TKT167031,Billing Problem,10.4,9.8,0.0
2025-03-21,TKT167031,Billing Problem,18.4,9.5,0.045
2025-03-21,TKT167031,Product Feature,22.7,9.1,0.043
2025-03-21,TKT167031,Technical Issue,36.8,6.0,0.29
2025-03-21,TKT167031,Account Access,7.6,8.2,0.051
2025-03-21,TKT167031,Product Feature,10.1,7.0,0.0
2025-03-21,TKT167031,Account Access,1.7,8.2,0.125
2025-03-21,TKT167031,Billing Problem,5.5,6.3,0.119
2025-03-21,TKT167031,Account Access,8.2,8.8,0.057
2025-03-21,TKT167031,Product Feature,4.5,6.5,0.246
2025-03-21,TKT167031,Billing Problem,1.2,8.1,0.016
2025-03-21,TKT167031,Technical Issue,9.7,9.2,0.109
2025-03-21,TKT167031,Technical Issue,43.1,5.7,0.079
2025-03-21,TKT167031,Account Access,2.7,6.2,0.223
2025-03-21,TKT167031,Product Feature,15.1,8.9,0.124
2025-03-21,TKT167031,Billing Problem,17.2,7.6,0.0
2025-03-21,TKT167031,Account Access,2.4,7.0,0.141
2025-03-21,TKT167031,Account Access,3.2,10.0,0.211
2025-03-21,TKT167031,Billing Problem,3.2,8.3,0.192
2025-03-22,TKT168030,Technical Issue,46.3,6.1,0.092
2025-03-22,TKT168030,Billing Problem,16.2,5.7,0.351
2025-03-22,TKT168030,Billing Problem,15.4,8.8,0.015
2025-03-22,TKT169031,Technical Issue,14.9,6.4,0.121
2025-03-22,TKT169031,Service Quality,7.4,7.1,0.229
2025-03-22,TKT169031,Billing Problem,29.3,6.4,0.329
2025-03-22,TKT169031,Service Quality,12.1,9.0,0.164
2025-03-22,TKT169031,Billing Problem,20.1,8.4,0.085
2025-03-22,TKT169031,Account Access,4.9,8.2,0.14
2025-03-22,TKT169031,Technical Issue,35.6,3.9,0.557
2025-03-22,TKT169031,Service Quality,17.1,7.0,0.319
2025-03-22,TKT169031,Billing Problem,11.5,7.9,0.023
2025-03-22,TKT169031,Technical Issue,60.1,4.9,0.565
2025-03-22,TKT169031,Billing Problem,39.4,5.6,0.0
2025-03-22,TKT169031,Billing Problem,11.2,8.8,0.15
2025-03-22,TKT169031,Technical Issue,56.9,1.3,0.991
2025-03-22,TKT169031,Technical Issue,23.3,7.8,0.132
2025-03-22,TKT169031,Billing Problem,6.1,6.9,0.147
2025-03-22,TKT169031,Billing Problem,6.3,9.0,0.065
2025-03-22,TKT169031,Technical Issue,3.0,8.9,0.089
2025-03-22,TKT170031,Technical Issue,19.1,9.0,0.0
2025-03-22,TKT170031,Shipping/Delivery,26.1,4.0,0.544
2025-03-22,TKT170031,Technical Issue,22.2,9.2,0.147
2025-03-22,TKT170031,Account Access,4.5,6.7,0.437
2025-03-22,TKT170031,Technical Issue,13.3,9.0,0.097
2025-03-22,TKT170031,Billing Problem,20.5,7.9,0.241
2025-03-22,TKT170031,Technical Issue,25.0,5.9,0.552
2025-03-22,TKT170031,Billing Problem,21.1,8.3,0.114
2025-03-22,TKT170031,Account Access,1.1,7.6,0.031
2025-03-22,TKT170031,Account Access,3.1,6.5,0.409
2025-03-22,TKT170031,Account Access,2.9,7.5,0.132
2025-03-22,TKT170031,Technical Issue,15.0,7.9,0.064
2025-03-22,TKT170031,Technical Issue,39.8,5.4,0.002
2025-03-22,TKT170031,Billing Problem,7.4,9.6,0.023
2025-03-22,TKT170031,Shipping/Delivery,8.0,8.8,0.091
2025-03-22,TKT170031,Account Access,1.7,6.5,0.172
2025-03-22,TKT170031,Billing Problem,6.0,7.1,0.224
2025-03-22,TKT170031,Billing Problem,14.1,8.8,0.074
2025-03-22,TKT170031,Technical Issue,13.1,8.9,0.035
2025-03-22,TKT170031,Account Access,7.1,7.2,0.15
2025-03-22,TKT170031,Billing Problem,24.6,6.3,0.088
2025-03-22,TKT170031,Billing Problem,38.0,3.1,0.376
2025-03-22,TKT170031,Shipping/Delivery,12.5,6.7,0.482
2025-03-22,TKT170031,Technical Issue,34.9,5.1,0.301
2025-03-22,TKT171030,Product Feature,17.6,7.0,0.141
2025-03-22,TKT171030,Product Feature,8.8,6.8,0.367
2025-03-22,TKT171030,Account Access,7.1,7.3,0.047
2025-03-22,TKT171030,Account Access,5.3,7.8,0.039
2025-03-22,TKT171030,Product Feature,7.3,7.9,0.038
2025-03-22,TKT171030,Billing Problem,24.7,7.0,0.236
2025-03-22,TKT171030,Billing Problem,1.2,9.0,0.239
2025-03-22,TKT171030,Billing Problem,5.8,5.8,0.159
2025-03-23,TKT172031,Technical Issue,35.2,5.2,0.254
2025-03-23,TKT172031,Technical Issue,8.2,4.7,0.563
2025-03-23,TKT172031,Billing Problem,9.3,9.5,0.071
2025-03-23,TKT172031,Billing Problem,12.5,7.3,0.116
2025-03-23,TKT172031,Technical Issue,39.6,5.3,0.0
2025-03-23,TKT172031,Account Access,4.8,7.5,0.06
2025-03-23,TKT172031,Account Access,2.9,6.7,0.403
2025-03-23,TKT172031,Billing Problem,16.3,7.0,0.113
2025-03-23,TKT173030,Technical Issue,50.1,3.0,0.773
2025-03-23,TKT173030,Technical Issue,25.4,5.8,0.488
2025-03-23,TKT173030,Technical Issue,22.6,8.5,0.139
2025-03-23,TKT173030,Account Access,15.2,6.3,0.468
2025-03-23,TKT173030,Shipping/Delivery,25.7,5.2,0.177
2025-03-23,TKT173030,Account Access,1.7,6.4,0.29
2025-03-23,TKT173030,Billing Problem,63.7,4.2,0.415
2025-03-23,TKT173030,Technical Issue,20.0,8.8,0.205
2025-03-23,TKT173030,Technical Issue,50.4,3.6,0.51
2025-03-23,TKT173030,Product Feature,21.1,6.8,0.161
2025-03-23,TKT173030,Billing Problem,47.9,5.3,0.0
2025-03-23,TKT173030,Billing Problem,3.9,7.4,0.107
2025-03-23,TKT173030,Technical Issue,17.1,8.4,0.128
2025-03-23,TKT173030,Shipping/Delivery,4.7,6.6,0.386
2025-03-23,TKT173030,Account Access,1.5,7.4,0.0
2025-03-23,TKT173030,Billing Problem,9.2,9.3,0.058
2025-03-23,TKT173030,Technical Issue,23.1,7.5,0.059
2025-03-23,TKT173030,Service Quality,27.2,2.0,0.912
2025-03-23,TKT174033,Billing Problem,9.4,8.4,0.0
2025-03-23,TKT174033,Technical Issue,10.2,8.7,0.002
2025-03-23,TKT174033,Account Access,2.5,9.4,0.146
2025-03-23,TKT174033,Shipping/Delivery,9.8,6.7,0.174
2025-03-23,TKT174033,Billing Problem,5.8,7.7,0.131
2025-03-23,TKT174033,Billing Problem,7.6,8.8,0.0
2025-03-23,TKT174033,Product Feature,4.5,7.4,0.031
2025-03-23,TKT174033,Billing Problem,6.6,9.8,0.086
2025-03-23,TKT174033,Shipping/Delivery,20.4,5.1,0.352
2025-03-23,TKT174033,Service Quality,5.4,7.6,0.152
2025-03-23,TKT174033,Account Access,3.9,5.8,0.385
2025-03-23,TKT174033,Billing Problem,8.6,7.8,0.066
2025-03-23,TKT174033,Billing Problem,42.6,7.8,0.054
2025-03-23,TKT174033,Technical Issue,21.2,7.9,0.144
2025-03-23,TKT174033,Technical Issue,14.5,5.9,0.184
2025-03-23,TKT174033,Product Feature,17.7,9.0,0.093
2025-03-23,TKT174033,Account Access,1.5,9.0,0.083
2025-03-23,TKT174033,Billing Problem,5.3,7.3,0.202
2025-03-23,TKT175029,Product Feature,20.4,7.8,0.038
2025-03-23,TKT175029,Technical Issue,39.5,7.1,0.148
2025-03-23,TKT175029,Billing Problem,4.0,6.6,0.321
2025-03-23,TKT175029,Shipping/Delivery,4.2,7.5,0.0
2025-03-23,TKT175029,Billing Problem,15.3,6.6,0.174
2025-03-23,TKT175029,Billing Problem,23.8,6.2,0.48
2025-03-23,TKT175029,Shipping/Delivery,10.1,5.7,0.371
2025-03-23,TKT175029,Shipping/Delivery,9.8,7.4,0.191
2025-03-23,TKT175535,Product Feature,35.9,3.8,0.71
2025-03-24,TKT176539,Billing Problem,17.5,8.0,0.29
2025-03-24,TKT176539,Billing Problem,8.5,7.2,0.0
2025-03-24,TKT176539,Billing Problem,6.1,8.5,0.113
2025-03-24,TKT176539,Technical Issue,17.0,7.3,0.0
2025-03-24,TKT176539,Account Access,2.8,9.1,0.288
2025-03-24,TKT176539,Product Feature,4.2,8.3,0.183
2025-03-24,TKT176539,Shipping/Delivery,8.0,7.2,0.2
2025-03-24,TKT176539,Product Feature,14.1,8.2,0.046
2025-03-24,TKT176539,Shipping/Delivery,14.1,7.5,0.243
2025-03-24,TKT176539,Technical Issue,18.8,7.7,0.108
2025-03-24,TKT176539,Technical Issue,41.8,7.1,0.093
2025-03-24,TKT177537,Shipping/Delivery,14.6,8.5,0.0
2025-03-24,TKT177537,Technical Issue,7.5,8.5,0.116
2025-03-24,TKT177537,Technical Issue,16.8,7.5,0.082
2025-03-24,TKT177537,Technical Issue,19.2,8.1,0.052
2025-03-24,TKT177537,Product Feature,4.6,8.1,0.118
2025-03-24,TKT177537,Billing Problem,3.8,7.4,0.124
2025-03-24,TKT177537,Billing Problem,7.7,8.3,0.121
2025-03-24,TKT177537,Account Access,2.6,7.5,0.0
2025-03-24,TKT177537,Service Quality,9.5,9.4,0.209
2025-03-24,TKT177537,Product Feature,12.7,8.6,0.182
2025-03-24,TKT177537,Service Quality,4.3,8.6,0.0
2025-03-24,TKT177537,Billing Problem,8.6,7.3,0.0
2025-03-24,TKT177537,Billing Problem,17.7,8.0,0.106
2025-03-24,TKT177537,Billing Problem,18.5,7.4,0.124
2025-03-24,TKT177537,Technical Issue,22.3,8.2,0.082
2025-03-24,TKT177537,Shipping/Delivery,50.6,4.0,0.377
2025-03-24,TKT177537,Billing Problem,18.0,5.7,0.262
2025-03-24,TKT177537,Billing Problem,10.6,5.6,0.085
2025-03-24,TKT177537,Shipping/Delivery,19.3,6.4,0.27
2025-03-24,TKT177537,Product Feature,14.4,5.8,0.183
2025-03-24,TKT177537,Service Quality,40.6,5.2,0.462
2025-03-24,TKT177537,Account Access,1.6,4.6,0.517
2025-03-24,TKT177537,Technical Issue,26.7,7.3,0.089
2025-03-24,TKT177537,Billing Problem,14.8,6.4,0.412
2025-03-24,TKT177537,Technical Issue,11.3,8.7,0.099
2025-03-24,TKT177537,Product Feature,11.9,8.0,0.18
2025-03-24,TKT177537,Technical Issue,12.5,7.5,0.03
2025-03-24,TKT177537,Product Feature,12.3,6.3,0.472
2025-03-24,TKT177537,Technical Issue,8.8,7.2,0.083
2025-03-24,TKT177537,Shipping/Delivery,6.2,8.6,0.091
2025-03-24,TKT177537,Service Quality,9.0,7.0,0.356
2025-03-25,TKT178538,Technical Issue,69.0,2.8,0.981
2025-03-25,TKT178538,Product Feature,12.4,7.9,0.034
2025-03-25,TKT178538,Technical Issue,28.1,6.6,0.092
2025-03-25,TKT178538,Account Access,1.2,8.4,0.121
2025-03-25,TKT179538,Billing Problem,7.7,8.1,0.14
2025-03-25,TKT179538,Billing Problem,13.6,7.8,0.068
2025-03-25,TKT179538,Technical Issue,52.3,5.5,0.0
2025-03-25,TKT179538,Technical Issue,19.9,8.1,0.214
2025-03-25,TKT179538,Product Feature,4.0,7.8,0.152
2025-03-25,TKT179538,Technical Issue,8.1,9.7,0.125
2025-03-25,TKT179538,Product Feature,7.5,7.5,0.026
2025-03-25,TKT179538,Technical Issue,2.7,6.5,0.315
2025-03-25,TKT179538,Account Access,3.0,6.8,0.275
2025-03-25,TKT179538,Service Quality,4.3,9.5,0.029
2025-03-25,TKT179538,Billing Problem,8.8,8.1,0.0
2025-03-25,TKT179538,Shipping/Delivery,3.5,9.6,0.09
2025-03-25,TKT179538,Account Access,4.7,6.4,0.109
2025-03-25,TKT179538,Technical Issue,2.0,9.1,0.062
2025-03-25,TKT179538,Shipping/Delivery,49.1,4.0,0.565
2025-03-25,TKT179538,Account Access,4.7,7.7,0.017
2025-03-25,TKT179538,Service Quality,26.3,5.7,0.049
2025-03-25,TKT179538,Billing Problem,30.5,6.2,0.218
2025-03-25,TKT179538,Technical Issue,33.0,7.5,0.138
2025-03-25,TKT179538,Account Access,3.1,5.8,0.384
2025-03-25,TKT179538,Technical Issue,41.6,5.0,0.105
2025-03-25,TKT179538,Technical Issue,56.4,3.8,0.574
2025-03-25,TKT179538,Technical Issue,8.3,8.2,0.063
2025-03-25,TKT179538,Account Access,8.4,7.6,0.0
2025-03-25,TKT179538,Shipping/Delivery,6.7,5.7,0.0
2025-03-25,TKT179538,Billing Problem,3.9,9.3,0.177
2025-03-25,TKT179538,Technical Issue,28.1,5.7,0.319
2025-03-25,TKT179538,Shipping/Delivery,30.4,5.1,0.055
2025-03-25,TKT179538,Billing Problem,5.5,7.2,0.083
2025-03-25,TKT179538,Account Access,2.1,4.5,0.43
2025-03-25,TKT179538,Technical Issue,11.7,8.0,0.044
2025-03-25,TKT179538,Shipping/Delivery,15.1,6.0,0.362
2025-03-25,TKT179538,Shipping/Delivery,3.6,7.5,0.218
2025-03-25,TKT180538,Shipping/Delivery,4.1,5.2,0.466
2025-03-25,TKT180538,Billing Problem,10.6,6.0,0.368
2025-03-25,TKT180538,Product Feature,2.0,8.7,0.0
2025-03-25,TKT180538,Shipping/Delivery,9.7,7.1,0.0
2025-03-25,TKT180538,Product Feature,1.5,10.0,0.124
2025-03-25,TKT180538,Billing Problem,7.2,9.2,0.295
2025-03-25,TKT180538,Shipping/Delivery,5.6,7.7,0.046
2025-03-25,TKT180538,Billing Problem,3.1,5.4,0.413
2025-03-25,TKT180538,Product Feature,5.6,7.4,0.063
2025-03-25,TKT180538,Technical Issue,30.4,7.1,0.226
2025-03-25,TKT180538,Account Access,1.8,5.9,0.0
2025-03-25,TKT180538,Account Access,3.0,6.4,0.242
2025-03-25,TKT180538,Billing Problem,12.1,7.8,0.014
2025-03-25,TKT180538,Technical Issue,24.4,4.8,0.403
2025-03-25,TKT180538,Billing Problem,11.9,9.9,0.147
2025-03-25,TKT180538,Technical Issue,31.4,7.2,0.161
2025-03-25,TKT180538,Shipping/Delivery,16.3,8.5,0.018
2025-03-25,TKT180538,Account Access,5.3,7.7,0.064
2025-03-25,TKT180538,Technical Issue,15.1,7.2,0.134
2025-03-25,TKT180538,Billing Problem,18.7,9.0,0.0
2025-03-25,TKT180538,Billing Problem,8.7,6.9,0.375
2025-03-25,TKT180538,Account Access,4.5,6.5,0.421
2025-03-25,TKT180538,Service Quality,36.1,4.2,0.397
2025-03-25,TKT180538,Product Feature,4.5,8.8,0.028
2025-03-25,TKT180538,Shipping/Delivery,8.9,7.0,0.093
2025-03-25,TKT180538,Account Access,2.6,8.8,0.0
2025-03-25,TKT180538,Product Feature,5.0,6.4,0.35
2025-03-25,TKT180538,Technical Issue,38.7,2.9,0.769
2025-03-25,TKT180538,Technical Issue,32.7,3.2,0.763
2025-03-26,TKT181538,Shipping/Delivery,12.3,8.5,0.032
2025-03-26,TKT181538,Billing Problem,12.7,6.7,0.366
2025-03-26,TKT181538,Technical Issue,31.2,4.7,0.811
2025-03-26,TKT181538,Technical Issue,29.1,5.9,0.154
2025-03-26,TKT181538,Technical Issue,45.9,6.8,0.189
2025-03-26,TKT181538,Technical Issue,6.0,6.9,0.335
2025-03-26,TKT181538,Technical Issue,26.8,4.5,0.367
2025-03-26,TKT182538,Account Access,1.4,8.4,0.085
2025-03-26,TKT182538,Service Quality,23.0,6.8,0.231
2025-03-26,TKT182538,Billing Problem,25.8,4.9,0.633
2025-03-26,TKT182538,Technical Issue,5.9,6.8,0.19
2025-03-26,TKT182538,Shipping/Delivery,4.9,6.9,0.297
2025-03-26,TKT182538,Technical Issue,30.8,6.5,0.238
2025-03-26,TKT182538,Technical Issue,29.0,4.4,0.606
2025-03-26,TKT182538,Product Feature,9.9,7.0,0.011
2025-03-26,TKT182538,Shipping/Delivery,21.3,7.5,0.071
2025-03-26,TKT182538,Technical Issue,33.2,4.8,0.953
2025-03-26,TKT182538,Account Access,5.9,7.0,0.106
2025-03-26,TKT182538,Billing Problem,36.3,6.9,0.216
2025-03-26,TKT182538,Billing Problem,26.5,8.2,0.115
2025-03-26,TKT182538,Technical Issue,40.2,4.4,0.665
2025-03-26,TKT182538,Technical Issue,7.0,7.9,0.032
2025-03-26,TKT182538,Billing Problem,22.5,9.7,0.224
2025-03-26,TKT182538,Service Quality,9.5,9.3,0.177
2025-03-26,TKT182538,Technical Issue,33.7,3.7,0.49
2025-03-26,TKT182538,Technical Issue,33.4,3.3,0.567
2025-03-26,TKT182538,Billing Problem,18.0,6.6,0.149
2025-03-26,TKT182538,Product Feature,3.2,8.3,0.224
2025-03-26,TKT183540,Account Access,2.8,6.4,0.345
2025-03-26,TKT183540,Billing Problem,12.4,6.6,0.456
2025-03-26,TKT183540,Technical Issue,25.2,5.7,0.175
2025-03-26,TKT183540,Billing Problem,7.5,7.9,0.085
2025-03-26,TKT183540,Product Feature,12.3,5.2,0.229
2025-03-26,TKT183540,Technical Issue,8.4,9.0,0.149
2025-03-26,TKT183540,Billing Problem,5.1,9.2,0.071
2025-03-26,TKT183540,Product Feature,6.8,6.4,0.349
2025-03-26,TKT183540,Technical Issue,16.7,7.3,0.079
2025-03-26,TKT183540,Billing Problem,3.2,7.5,0.073
2025-03-26,TKT183540,Account Access,2.3,10.0,0.0
2025-03-26,TKT183540,Shipping/Delivery,9.9,7.9,0.0
2025-03-26,TKT183540,Technical Issue,36.1,6.4,0.354
2025-03-26,TKT183540,Billing Problem,16.7,7.3,0.088
2025-03-26,TKT183540,Billing Problem,17.2,7.9,0.002
2025-03-26,TKT183540,Technical Issue,32.1,3.1,0.563
2025-03-26,TKT183540,Technical Issue,28.3,6.2,0.439
2025-03-26,TKT183540,Service Quality,19.3,7.9,0.066
2025-03-26,TKT183540,Technical Issue,31.9,4.7,0.392
2025-03-26,TKT183540,Billing Problem,5.8,8.3,0.121
2025-03-26,TKT183540,Shipping/Delivery,31.1,5.1,0.062
2025-03-26,TKT183540,Technical Issue,2.3,9.1,0.041
2025-03-26,TKT183540,Account Access,1.4,8.2,0.111
2025-03-26,TKT183540,Technical Issue,29.2,5.4,0.49
2025-03-26,TKT183540,Shipping/Delivery,9.5,7.4,0.158
2025-03-26,TKT183540,Billing Problem,34.8,6.9,0.144
2025-03-26,TKT183540,Billing Problem,12.5,8.5,0.263
2025-03-27,TKT185044,Technical Issue,16.0,7.0,0.104
2025-03-27,TKT185044,Billing Problem,7.4,7.7,0.231
2025-03-27,TKT185044,Product Feature,16.4,8.2,0.077
2025-03-27,TKT186053,Product Feature,1.4,8.7,0.04
2025-03-27,TKT186053,Billing Problem,29.3,4.9,0.699
2025-03-27,TKT186053,Shipping/Delivery,8.2,8.9,0.08
2025-03-27,TKT186053,Billing Problem,12.4,8.4,0.141
2025-03-27,TKT186053,Service Quality,7.6,8.4,0.025
2025-03-27,TKT186053,Billing Problem,33.4,5.2,0.376
2025-03-27,TKT186053,Product Feature,18.9,6.2,0.247
