date,campaign_id,channel,budget,clicks,conversions,conversion_rate
2025-04-13,C00101,Facebook,900.0,144,0,0.0
2025-04-13,C00102,Google,500.0,58,1,1.72
2025-04-13,C00103,Email,360.0,70,1,1.43
2025-04-13,C00104,SMS,240.0,63,0,0.0
2025-04-14,C00105,Facebook,900.0,143,3,2.1
2025-04-14,C00106,Google,500.0,59,1,1.69
2025-04-14,C00107,Email,360.0,74,2,2.7
2025-04-14,C00108,SMS,240.0,60,1,1.67
2025-04-15,C00109,Facebook,900.0,140,2,1.43
2025-04-15,C00110,Google,500.0,58,0,0.0
2025-04-15,C00111,Email,360.0,73,1,1.37
2025-04-15,C00112,SMS,240.0,63,0,0.0
2025-04-16,C00113,Facebook,900.0,128,3,2.34
2025-04-16,C00114,Google,500.0,60,1,1.67
2025-04-16,C00115,Email,360.0,73,2,2.74
2025-04-16,C00116,SMS,240.0,55,1,1.82
2025-04-17,C00117,Facebook,900.0,134,3,2.24
2025-04-17,C00118,Google,500.0,60,1,1.67
2025-04-17,C00119,Email,360.0,73,0,0.0
2025-04-17,C00120,SMS,240.0,57,1,1.75
2025-04-18,C00121,Facebook,900.0,126,3,2.38
2025-04-18,C00122,Google,500.0,60,1,1.67
2025-04-18,C00123,Email,360.0,74,0,0.0
2025-04-18,C00124,SMS,240.0,58,0,0.0
2025-04-19,C00125,Facebook,900.0,126,0,0.0
2025-04-19,C00126,Google,500.0,58,1,1.72
2025-04-19,C00127,Email,360.0,73,1,1.37
2025-04-19,C00128,SMS,240.0,58,1,1.72
2025-04-20,C00129,Facebook,900.0,135,3,2.22
2025-04-20,C00130,Google,500.0,61,0,0.0
2025-04-20,C00131,Email,360.0,73,2,2.74
2025-04-20,C00132,SMS,240.0,63,0,0.0
2025-04-21,C00133,Facebook,900.0,131,3,2.29
2025-04-21,C00134,Google,500.0,55,1,1.82
2025-04-21,C00135,Email,360.0,72,1,1.39
2025-04-21,C00136,SMS,240.0,58,1,1.72
2025-04-22,C00137,Facebook,900.0,129,3,2.33
2025-04-22,C00138,Google,500.0,57,0,0.0
2025-04-22,C00139,Email,360.0,73,0,0.0
2025-04-22,C00140,SMS,240.0,59,1,1.69
2025-04-23,C00141,Facebook,900.0,130,3,2.31
2025-04-23,C00142,Google,500.0,64,1,1.56
2025-04-23,C00143,Email,360.0,73,0,0.0
2025-04-23,C00144,SMS,240.0,59,1,1.69
2025-04-24,C00145,Facebook,900.0,135,2,1.48
2025-04-24,C00146,Google,500.0,58,1,1.72
2025-04-24,C00147,Email,360.0,70,1,1.43
2025-04-24,C00148,SMS,240.0,56,0,0.0
2025-04-25,C00149,Facebook,900.0,130,2,1.54
2025-04-25,C00150,Google,500.0,64,1,1.56
2025-04-25,C00151,Email,360.0,72,0,0.0
2025-04-25,C00152,SMS,240.0,64,1,1.56
2025-04-26,C00153,Facebook,900.0,135,3,2.22
2025-04-26,C00154,Google,500.0,62,1,1.61
2025-04-26,C00155,Email,360.0,72,2,2.78
2025-04-26,C00156,SMS,240.0,57,0,0.0
2025-04-27,C00157,Facebook,900.0,135,3,2.22
2025-04-27,C00158,Google,500.0,57,0,0.0
2025-04-27,C00159,Email,360.0,71,1,1.41
2025-04-27,C00160,SMS,240.0,57,1,1.75
2025-04-28,C00161,Facebook,900.0,130,3,2.31
2025-04-28,C00162,Google,500.0,55,1,1.82
2025-04-28,C00163,Email,360.0,70,1,1.43
2025-04-28,C00164,SMS,240.0,57,1,1.75
2025-04-29,C00165,Facebook,900.0,133,2,1.5
2025-04-29,C00166,Google,500.0,61,1,1.64
2025-04-29,C00167,Email,360.0,74,2,2.7
2025-04-29,C00168,SMS,240.0,56,1,1.79
2025-04-30,C00169,Facebook,900.0,133,2,1.5
2025-04-30,C00170,Google,500.0,64,1,1.56
2025-04-30,C00171,Email,360.0,73,1,1.37
2025-04-30,C00172,SMS,240.0,57,1,1.75
2025-05-01,C00173,Facebook,900.0,131,4,3.05
2025-05-01,C00174,Google,500.0,63,2,3.17
2025-05-01,C00175,Email,360.0,74,2,2.7
2025-05-01,C00176,SMS,240.0,62,0,0.0
2025-05-02,C00177,Facebook,900.0,135,3,2.22
2025-05-02,C00178,Google,500.0,56,1,1.79
2025-05-02,C00179,Email,360.0,70,1,1.43
2025-05-02,C00180,SMS,240.0,57,1,1.75
2025-05-03,C00181,Facebook,900.0,129,2,1.55
2025-05-03,C00182,Google,500.0,62,1,1.61
2025-05-03,C00183,Email,360.0,74,1,1.35
2025-05-03,C00184,SMS,240.0,63,1,1.59
2025-05-04,C00185,Facebook,900.0,140,4,2.86
2025-05-04,C00186,Google,500.0,59,1,1.69
2025-05-04,C00187,Email,360.0,70,2,2.86
2025-05-04,C00188,SMS,240.0,63,2,3.17
2025-05-05,C00189,Facebook,900.0,126,3,2.38
2025-05-05,C00190,Google,500.0,63,1,1.59
2025-05-05,C00191,Email,360.0,74,1,1.35
2025-05-05,C00192,SMS,240.0,63,1,1.59
2025-05-06,C00193,Facebook,900.0,143,4,2.8
2025-05-06,C00194,Google,500.0,60,1,1.67
2025-05-06,C00195,Email,360.0,74,0,0.0
2025-05-06,C00196,SMS,240.0,59,1,1.69
2025-05-07,C00197,Facebook,900.0,141,3,2.13
2025-05-07,C00198,Google,500.0,58,2,3.45
2025-05-07,C00199,Email,360.0,70,1,1.43
2025-05-07,C00200,SMS,240.0,58,1,1.72
2025-05-08,C00201,Facebook,900.0,143,2,1.4
2025-05-08,C00202,Google,500.0,57,0,0.0
2025-05-08,C00203,Email,360.0,74,1,1.35
2025-05-08,C00204,SMS,240.0,58,0,0.0
2025-05-09,C00205,Facebook,900.0,141,4,2.84
2025-05-09,C00206,Google,500.0,56,1,1.79
2025-05-09,C00207,Email,360.0,71,1,1.41
2025-05-09,C00208,SMS,240.0,60,1,1.67
2025-05-10,C00209,Facebook,900.0,140,5,3.57
2025-05-10,C00210,Google,500.0,60,1,1.67
2025-05-10,C00211,Email,360.0,71,0,0.0
2025-05-10,C00212,SMS,240.0,60,1,1.67
2025-05-11,C00213,Facebook,900.0,143,1,0.7
2025-05-11,C00214,Google,500.0,64,1,1.56
2025-05-11,C00215,Email,360.0,73,1,1.37
2025-05-11,C00216,SMS,240.0,64,1,1.56
2025-05-12,C00217,Facebook,900.0,125,2,1.6
2025-05-12,C00218,Google,500.0,58,1,1.72
2025-05-12,C00219,Email,360.0,72,2,2.78
2025-05-12,C00220,SMS,240.0,58,0,0.0
2025-05-13,C00221,Facebook,900.0,131,3,2.29
2025-05-13,C00222,Google,500.0,62,1,1.61
2025-05-13,C00223,Email,360.0,69,1,1.45
2025-05-13,C00224,SMS,240.0,63,0,0.0
2025-05-14,C00225,Facebook,900.0,135,3,2.22
2025-05-14,C00226,Google,500.0,58,1,1.72
2025-05-14,C00227,Email,360.0,70,1,1.43
2025-05-14,C00228,SMS,240.0,58,1,1.72
2025-05-15,C00229,Facebook,900.0,138,3,2.17
2025-05-15,C00230,Google,500.0,64,1,1.56
2025-05-15,C00231,Email,360.0,71,2,2.82
2025-05-15,C00232,SMS,240.0,63,1,1.59
2025-05-16,C00233,Facebook,900.0,125,4,3.2
2025-05-16,C00234,Google,500.0,56,1,1.79
2025-05-16,C00235,Email,360.0,69,0,0.0
2025-05-16,C00236,SMS,240.0,60,1,1.67
2025-05-17,C00237,Facebook,900.0,129,2,1.55
2025-05-17,C00238,Google,500.0,63,1,1.59
2025-05-17,C00239,Email,360.0,73,2,2.74
2025-05-17,C00240,SMS,240.0,62,1,1.61
2025-05-18,C00241,Facebook,900.0,127,0,0.0
2025-05-18,C00242,Google,500.0,61,1,1.64
2025-05-18,C00243,Email,360.0,72,2,2.78
2025-05-18,C00244,SMS,240.0,62,1,1.61
2025-05-19,C00245,Facebook,900.0,138,2,1.45
2025-05-19,C00246,Google,500.0,63,2,3.17
2025-05-19,C00247,Email,360.0,70,0,0.0
2025-05-19,C00248,SMS,240.0,62,1,1.61
2025-05-20,C00249,Facebook,900.0,131,1,0.76
2025-05-20,C00250,Google,500.0,63,1,1.59
2025-05-20,C00251,Email,360.0,71,1,1.41
2025-05-20,C00252,SMS,240.0,64,1,1.56
2025-05-21,C00253,Facebook,900.0,129,2,1.55
2025-05-21,C00254,Google,500.0,61,1,1.64
2025-05-21,C00255,Email,360.0,70,2,2.86
2025-05-21,C00256,SMS,240.0,58,0,0.0
2025-05-22,C00257,Facebook,900.0,137,3,2.19
2025-05-22,C00258,Google,500.0,56,1,1.79
2025-05-22,C00259,Email,360.0,73,1,1.37
2025-05-22,C00260,SMS,240.0,59,2,3.39
2025-05-23,C00261,Facebook,900.0,133,2,1.5
2025-05-23,C00262,Google,500.0,61,1,1.64
2025-05-23,C00263,Email,360.0,73,2,2.74
2025-05-23,C00264,SMS,240.0,56,0,0.0
2025-05-24,C00265,Facebook,900.0,127,2,1.57
2025-05-24,C00266,Google,500.0,63,1,1.59
2025-05-24,C00267,Email,360.0,71,2,2.82
2025-05-24,C00268,SMS,240.0,63,1,1.59
2025-05-25,C00269,Facebook,900.0,136,4,2.94
2025-05-25,C00270,Google,500.0,56,1,1.79
2025-05-25,C00271,Email,360.0,70,2,2.86
2025-05-25,C00272,SMS,240.0,64,1,1.56
2025-05-26,C00273,Facebook,900.0,125,2,1.6
2025-05-26,C00274,Google,500.0,58,1,1.72
2025-05-26,C00275,Email,360.0,71,1,1.41
2025-05-26,C00276,SMS,240.0,60,1,1.67
2025-05-27,C00277,Facebook,900.0,127,0,0.0
2025-05-27,C00278,Google,500.0,56,1,1.79
2025-05-27,C00279,Email,360.0,69,1,1.45
2025-05-27,C00280,SMS,240.0,61,1,1.64
2025-05-28,C00281,Facebook,900.0,139,2,1.44
2025-05-28,C00282,Google,500.0,59,1,1.69
2025-05-28,C00283,Email,360.0,69,1,1.45
2025-05-28,C00284,SMS,240.0,56,0,0.0
2025-05-29,C00285,Facebook,900.0,138,3,2.17
2025-05-29,C00286,Google,500.0,58,1,1.72
2025-05-29,C00287,Email,360.0,74,1,1.35
2025-05-29,C00288,SMS,240.0,55,1,1.82
2025-05-30,C00289,Facebook,900.0,143,4,2.8
2025-05-30,C00290,Google,500.0,57,0,0.0
2025-05-30,C00291,Email,360.0,74,2,2.7
2025-05-30,C00292,SMS,240.0,61,2,3.28
2025-05-31,C00293,Facebook,900.0,130,3,2.31
2025-05-31,C00294,Google,500.0,58,0,0.0
2025-05-31,C00295,Email,360.0,72,1,1.39
2025-05-31,C00296,SMS,240.0,59,1,1.69
2025-06-01,C00297,Facebook,900.0,128,0,0.0
2025-06-01,C00298,Google,500.0,56,1,1.79
2025-06-01,C00299,Email,360.0,73,2,2.74
2025-06-01,C00300,SMS,240.0,57,1,1.75
2025-06-02,C00301,Facebook,900.0,129,2,1.55
2025-06-02,C00302,Google,500.0,59,1,1.69
2025-06-02,C00303,Email,360.0,73,0,0.0
2025-06-02,C00304,SMS,240.0,55,0,0.0
2025-06-03,C00305,Facebook,900.0,144,3,2.08
2025-06-03,C00306,Google,500.0,62,1,1.61
2025-06-03,C00307,Email,360.0,71,2,2.82
2025-06-03,C00308,SMS,240.0,61,1,1.64
2025-06-04,C00309,Facebook,900.0,127,2,1.57
2025-06-04,C00310,Google,500.0,56,1,1.79
2025-06-04,C00311,Email,360.0,74,0,0.0
2025-06-04,C00312,SMS,240.0,56,0,0.0
2025-06-05,C00313,Facebook,900.0,143,1,0.7
2025-06-05,C00314,Google,500.0,55,0,0.0
2025-06-05,C00315,Email,360.0,74,0,0.0
2025-06-05,C00316,SMS,240.0,58,0,0.0
2025-06-06,C00317,Facebook,900.0,132,0,0.0
2025-06-06,C00318,Google,500.0,64,0,0.0
2025-06-06,C00319,Email,360.0,70,0,0.0
2025-06-06,C00320,SMS,240.0,63,1,1.59
2025-06-07,C00321,Facebook,900.0,143,3,2.1
2025-06-07,C00322,Google,500.0,61,1,1.64
2025-06-07,C00323,Email,360.0,71,2,2.82
2025-06-07,C00324,SMS,240.0,55,1,1.82
2025-06-08,C00325,Facebook,900.0,137,2,1.46
2025-06-08,C00326,Google,500.0,55,1,1.82
2025-06-08,C00327,Email,360.0,69,1,1.45
2025-06-08,C00328,SMS,240.0,56,1,1.79
2025-06-09,C00329,Facebook,900.0,128,2,1.56
2025-06-09,C00330,Google,500.0,57,1,1.75
2025-06-09,C00331,Email,360.0,72,2,2.78
2025-06-09,C00332,SMS,240.0,63,1,1.59
2025-06-10,C00333,Facebook,900.0,126,3,2.38
2025-06-10,C00334,Google,500.0,64,1,1.56
2025-06-10,C00335,Email,360.0,72,1,1.39
2025-06-10,C00336,SMS,240.0,60,1,1.67
2025-06-11,C00337,Facebook,900.0,141,2,1.42
2025-06-11,C00338,Google,500.0,57,1,1.75
2025-06-11,C00339,Email,360.0,73,1,1.37
2025-06-11,C00340,SMS,240.0,55,1,1.82
2025-06-12,C00341,Facebook,900.0,130,1,0.77
2025-06-12,C00342,Google,500.0,60,0,0.0
2025-06-12,C00343,Email,360.0,73,2,2.74
2025-06-12,C00344,SMS,240.0,56,1,1.79
2025-06-13,C00345,Facebook,900.0,133,1,0.75
2025-06-13,C00346,Google,500.0,62,1,1.61
2025-06-13,C00347,Email,360.0,70,1,1.43
2025-06-13,C00348,SMS,240.0,59,1,1.69
2025-06-14,C00349,Facebook,900.0,139,3,2.16
2025-06-14,C00350,Google,500.0,64,2,3.12
2025-06-14,C00351,Email,360.0,71,2,2.82
2025-06-14,C00352,SMS,240.0,55,1,1.82
2025-06-15,C00353,Facebook,900.0,130,3,2.31
2025-06-15,C00354,Google,500.0,58,0,0.0
2025-06-15,C00355,Email,360.0,74,0,0.0
2025-06-15,C00356,SMS,240.0,57,0,0.0
2025-06-16,C00357,Facebook,900.0,129,2,1.55
2025-06-16,C00358,Google,500.0,59,0,0.0
2025-06-16,C00359,Email,360.0,69,1,1.45
2025-06-16,C00360,SMS,240.0,58,2,3.45
2025-06-17,C00361,Facebook,900.0,143,1,0.7
2025-06-17,C00362,Google,500.0,56,0,0.0
2025-06-17,C00363,Email,360.0,72,1,1.39
2025-06-17,C00364,SMS,240.0,58,1,1.72
2025-06-18,C00365,Facebook,900.0,127,1,0.79
2025-06-18,C00366,Google,500.0,56,0,0.0
2025-06-18,C00367,Email,360.0,72,1,1.39
2025-06-18,C00368,SMS,240.0,60,2,3.33
2025-06-19,C00369,Facebook,900.0,132,0,0.0
2025-06-19,C00370,Google,500.0,59,0,0.0
2025-06-19,C00371,Email,360.0,73,1,1.37
2025-06-19,C00372,SMS,240.0,60,1,1.67
2025-06-20,C00373,Facebook,900.0,135,3,2.22
2025-06-20,C00374,Google,500.0,59,1,1.69
2025-06-20,C00375,Email,360.0,72,2,2.78
2025-06-20,C00376,SMS,240.0,57,1,1.75
2025-06-21,C00377,Facebook,900.0,130,3,2.31
2025-06-21,C00378,Google,500.0,64,3,4.69
2025-06-21,C00379,Email,360.0,71,1,1.41
2025-06-21,C00380,SMS,240.0,63,2,3.17
2025-06-22,C00381,Facebook,900.0,142,2,1.41
2025-06-22,C00382,Google,500.0,58,1,1.72
2025-06-22,C00383,Email,360.0,72,0,0.0
2025-06-22,C00384,SMS,240.0,55,0,0.0
2025-06-23,C00385,Facebook,900.0,127,2,1.57
2025-06-23,C00386,Google,500.0,61,1,1.64
2025-06-23,C00387,Email,360.0,71,1,1.41
2025-06-23,C00388,SMS,240.0,64,1,1.56
2025-06-24,C00389,Facebook,900.0,126,2,1.59
2025-06-24,C00390,Google,500.0,57,1,1.75
2025-06-24,C00391,Email,360.0,71,2,2.82
2025-06-24,C00392,SMS,240.0,63,0,0.0
2025-06-25,C00393,Facebook,900.0,129,3,2.33
2025-06-25,C00394,Google,500.0,63,1,1.59
2025-06-25,C00395,Email,360.0,69,1,1.45
2025-06-25,C00396,SMS,240.0,58,1,1.72
2025-06-26,C00397,Facebook,900.0,127,3,2.36
2025-06-26,C00398,Google,500.0,56,1,1.79
2025-06-26,C00399,Email,360.0,70,2,2.86
2025-06-26,C00400,SMS,240.0,60,0,0.0
2025-06-27,C00401,Facebook,900.0,131,2,1.53
2025-06-27,C00402,Google,500.0,61,1,1.64
2025-06-27,C00403,Email,360.0,73,2,2.74
2025-06-27,C00404,SMS,240.0,61,1,1.64
2025-06-28,C00405,Facebook,900.0,143,2,1.4
2025-06-28,C00406,Google,500.0,63,1,1.59
2025-06-28,C00407,Email,360.0,74,2,2.7
2025-06-28,C00408,SMS,240.0,58,1,1.72
2025-06-29,C00409,Facebook,900.0,138,3,2.17
2025-06-29,C00410,Google,500.0,58,0,0.0
2025-06-29,C00411,Email,360.0,72,1,1.39
2025-06-29,C00412,SMS,240.0,61,1,1.64
2025-06-30,C00413,Facebook,900.0,126,4,3.17
2025-06-30,C00414,Google,500.0,56,0,0.0
2025-06-30,C00415,Email,360.0,69,0,0.0
2025-06-30,C00416,SMS,240.0,64,1,1.56
2025-07-01,C00417,Facebook,1080.0,169,6,3.55
2025-07-01,C00418,Google,600.0,72,2,2.78
2025-07-01,C00419,Email,432.0,85,1,1.18
2025-07-01,C00420,SMS,288.0,69,2,2.9
2025-07-02,C00421,Facebook,1080.0,169,4,2.37
2025-07-02,C00422,Google,600.0,69,1,1.45
2025-07-02,C00423,Email,432.0,87,2,2.3
2025-07-02,C00424,SMS,288.0,73,0,0.0
2025-07-03,C00425,Facebook,1080.0,161,3,1.86
2025-07-03,C00426,Google,600.0,71,2,2.82
2025-07-03,C00427,Email,432.0,86,2,2.33
2025-07-03,C00428,SMS,288.0,70,1,1.43
2025-07-04,C00429,Facebook,1080.0,170,5,2.94
2025-07-04,C00430,Google,600.0,71,1,1.41
2025-07-04,C00431,Email,432.0,86,1,1.16
2025-07-04,C00432,SMS,288.0,69,0,0.0
2025-07-05,C00433,Facebook,1080.0,163,0,0.0
2025-07-05,C00434,Google,600.0,75,1,1.33
2025-07-05,C00435,Email,432.0,84,1,1.19
2025-07-05,C00436,SMS,288.0,75,2,2.67
2025-07-06,C00437,Facebook,1080.0,155,4,2.58
2025-07-06,C00438,Google,600.0,68,2,2.94
2025-07-06,C00439,Email,432.0,85,2,2.35
2025-07-06,C00440,SMS,288.0,71,1,1.41
2025-07-07,C00441,Facebook,1080.0,162,6,3.7
2025-07-07,C00442,Google,600.0,75,2,2.67
2025-07-07,C00443,Email,432.0,87,2,2.3
2025-07-07,C00444,SMS,288.0,71,0,0.0
2025-07-08,C00445,Facebook,1080.0,166,4,2.41
2025-07-08,C00446,Google,600.0,72,2,2.78
2025-07-08,C00447,Email,432.0,84,1,1.19
2025-07-08,C00448,SMS,288.0,72,1,1.39
2025-07-09,C00449,Facebook,1080.0,168,6,3.57
2025-07-09,C00450,Google,600.0,76,0,0.0
2025-07-09,C00451,Email,432.0,84,2,2.38
2025-07-09,C00452,SMS,288.0,73,1,1.37
2025-07-10,C00453,Facebook,1080.0,163,0,0.0
2025-07-10,C00454,Google,600.0,70,2,2.86
2025-07-10,C00455,Email,432.0,85,2,2.35
2025-07-10,C00456,SMS,288.0,73,1,1.37
2025-07-11,C00457,Facebook,1080.0,155,5,3.23
2025-07-11,C00458,Google,600.0,75,1,1.33
2025-07-11,C00459,Email,432.0,86,2,2.33
2025-07-11,C00460,SMS,288.0,76,1,1.32
2025-07-12,C00461,Facebook,1080.0,171,4,2.34
2025-07-12,C00462,Google,600.0,72,1,1.39
2025-07-12,C00463,Email,432.0,84,1,1.19
2025-07-12,C00464,SMS,288.0,75,2,2.67
2025-07-13,C00465,Facebook,1080.0,159,5,3.14
2025-07-13,C00466,Google,600.0,67,1,1.49
2025-07-13,C00467,Email,432.0,86,1,1.16
2025-07-13,C00468,SMS,288.0,75,2,2.67
2025-07-14,C00469,Facebook,1080.0,171,5,2.92
2025-07-14,C00470,Google,600.0,74,0,0.0
2025-07-14,C00471,Email,432.0,87,2,2.3
2025-07-14,C00472,SMS,288.0,72,2,2.78
2025-07-15,C00473,Facebook,1080.0,161,3,1.86
2025-07-15,C00474,Google,600.0,69,1,1.45
2025-07-15,C00475,Email,432.0,85,1,1.18
2025-07-15,C00476,SMS,288.0,67,1,1.49
2025-07-16,C00477,Facebook,1080.0,167,4,2.4
2025-07-16,C00478,Google,600.0,74,0,0.0
2025-07-16,C00479,Email,432.0,85,2,2.35
2025-07-16,C00480,SMS,288.0,72,1,1.39
2025-07-17,C00481,Facebook,1080.0,170,4,2.35
2025-07-17,C00482,Google,600.0,68,1,1.47
2025-07-17,C00483,Email,432.0,84,3,3.57
2025-07-17,C00484,SMS,288.0,76,2,2.63
2025-07-18,C00485,Facebook,1080.0,152,3,1.97
2025-07-18,C00486,Google,600.0,67,1,1.49
2025-07-18,C00487,Email,432.0,88,1,1.14
2025-07-18,C00488,SMS,288.0,71,1,1.41
2025-07-19,C00489,Facebook,1080.0,153,4,2.61
2025-07-19,C00490,Google,600.0,72,1,1.39
2025-07-19,C00491,Email,432.0,87,0,0.0
2025-07-19,C00492,SMS,288.0,75,1,1.33
2025-07-20,C00493,Facebook,1080.0,158,4,2.53
2025-07-20,C00494,Google,600.0,70,1,1.43
2025-07-20,C00495,Email,432.0,83,1,1.2
2025-07-20,C00496,SMS,288.0,70,2,2.86
2025-07-21,C00497,Facebook,1080.0,152,1,0.66
2025-07-21,C00498,Google,600.0,76,1,1.32
2025-07-21,C00499,Email,432.0,88,2,2.27
2025-07-21,C00500,SMS,288.0,75,1,1.33
2025-07-22,C00501,Facebook,1080.0,170,4,2.35
2025-07-22,C00502,Google,600.0,76,1,1.32
2025-07-22,C00503,Email,432.0,84,2,2.38
2025-07-22,C00504,SMS,288.0,71,2,2.82
2025-07-23,C00505,Facebook,1080.0,169,4,2.37
2025-07-23,C00506,Google,600.0,74,1,1.35
2025-07-23,C00507,Email,432.0,86,1,1.16
2025-07-23,C00508,SMS,288.0,70,2,2.86
2025-07-24,C00509,Facebook,1080.0,166,3,1.81
2025-07-24,C00510,Google,600.0,74,1,1.35
2025-07-24,C00511,Email,432.0,84,2,2.38
2025-07-24,C00512,SMS,288.0,73,1,1.37
2025-07-25,C00513,Facebook,1080.0,160,0,0.0
2025-07-25,C00514,Google,600.0,72,2,2.78
2025-07-25,C00515,Email,432.0,88,0,0.0
2025-07-25,C00516,SMS,288.0,69,1,1.45
2025-07-26,C00517,Facebook,1080.0,155,2,1.29
2025-07-26,C00518,Google,600.0,71,2,2.82
2025-07-26,C00519,Email,432.0,87,3,3.45
2025-07-26,C00520,SMS,288.0,69,1,1.45
